treatment,day,n,weight,weight_ste,weight_std
saline,1,14,33.15,0.431194355,1.613381542
saline,2,14,33.38333333,0.451479051,1.689279925
saline,3,14,33.46666667,0.530139245,1.983599422
saline,4,14,33.48333333,0.50551718,1.89147209
saline,5,14,33.83333333,0.556947463,2.083906588
saline,6,14,33.05,0.435480031,1.629417074
saline,7,14,33.1,0.556776436,2.083266666
saline,8,14,33.16666667,0.452190436,1.691941685
saline,9,14,33.05,0.432517547,1.618332475
saline,10,14,32.95,0.321047393,1.20124935
saline,11,14,32.6,0.384336162,1.438054241
saline,12,14,32.86666667,0.402373908,1.505545305
saline,13,14,32.83333333,0.419410016,1.569288586
saline,14,14,32.71666667,0.32881461,1.230311614
drug,1,14,33.5,0.948382081,3.548520819
drug,2,14,34.61666667,0.76071708,2.846342683
drug,3,14,34.3,0.713942775,2.671329257
drug,4,14,34.3,0.713942775,2.671329257
drug,5,14,34.46666667,0.694193605,2.597434632
drug,6,14,34.05,0.70786399,2.648584528
drug,7,14,34.03333333,0.635085296,2.376271589
drug,8,14,33.85,0.638245363,2.388095475
drug,9,14,33.93333333,0.630117147,2.357682478
drug,10,14,34.11666667,0.685443895,2.564696213
drug,11,14,34.36666667,0.657194615,2.458997086
drug,12,14,33.91666667,0.433397431,1.6216247
drug,13,14,34.33333333,0.620522054,2.321780926
drug,14,14,34.66666667,0.621672092,2.326083977
